PlanningUnitName,LTWPShortName,gauge,Code,relevant
Keepit to Boggabri,Namoi,419007,LF1_S,0
Keepit to Boggabri,Namoi,419007,LF2,0
Keepit to Boggabri,Namoi,419007,BK1,1
Keepit to Boggabri,Namoi,419007,BK2_P,1
Keepit to Boggabri,Namoi,419007,BK2_S,1
Keepit to Boggabri,Namoi,419007,OB1,1
Keepit to Boggabri,Namoi,419007,OB2_P,
Keepit to Boggabri,Namoi,419007,OB2_S,0
Keepit to Boggabri,Namoi,419007,OB3_P,1
Keepit to Boggabri,Namoi,419007,OB3_S,0
Keepit to Boggabri,Namoi,419001,CF1_a,1
Keepit to Boggabri,Namoi,419001,CF1_c,0
Keepit to Boggabri,Namoi,419001,CF1_b,1
Keepit to Boggabri,Namoi,419001,VF1_a,1
Keepit to Boggabri,Namoi,419001,VF1_b,0
Keepit to Boggabri,Namoi,419001,BF1_a,
Keepit to Boggabri,Namoi,419001,BF1_b,0
Keepit to Boggabri,Namoi,419001,BF2_a,1
Keepit to Boggabri,Namoi,419001,BF2_b,1
Keepit to Boggabri,Namoi,419001,SF1_P,1
Keepit to Boggabri,Namoi,419001,SF1_S,1
Keepit to Boggabri,Namoi,419001,SF2,1
Keepit to Boggabri,Namoi,419001,LF1_P,0
Keepit to Boggabri,Namoi,419001,LF1_S,1
Keepit to Boggabri,Namoi,419001,LF2,0
Keepit to Boggabri,Namoi,419001,AC1_P,1
Keepit to Boggabri,Namoi,419001,AC1_S,0
Keepit to Boggabri,Namoi,419001,AC2,1
Keepit to Boggabri,Namoi,419001,BK1,1
Keepit to Boggabri,Namoi,419001,BK2_P,0
Keepit to Boggabri,Namoi,419001,BK2_S,1
Keepit to Boggabri,Namoi,419001,OB2_P,0
Keepit to Boggabri,Namoi,419001,OB2_S,
Keepit to Boggabri,Namoi,419001,OB3_P,1
Keepit to Boggabri,Namoi,419001,OB3_S,0
Boggabri to Wee Waa,Namoi,419012,CF1_a,0
Boggabri to Wee Waa,Namoi,419012,CF1_c,0
Boggabri to Wee Waa,Namoi,419012,CF1_b,1
Boggabri to Wee Waa,Namoi,419012,VF1_a,1
Boggabri to Wee Waa,Namoi,419012,VF1_b,0
Boggabri to Wee Waa,Namoi,419012,BF1_a,1
Boggabri to Wee Waa,Namoi,419012,BF1_b,1
Boggabri to Wee Waa,Namoi,419012,BF2_a,0
Boggabri to Wee Waa,Namoi,419012,BF2_b,1
Boggabri to Wee Waa,Namoi,419012,SF1_P,0
Boggabri to Wee Waa,Namoi,419012,SF1_S,1
Boggabri to Wee Waa,Namoi,419012,SF2,0
Boggabri to Wee Waa,Namoi,419012,LF1_P,
Boggabri to Wee Waa,Namoi,419012,LF1_S,1
Boggabri to Wee Waa,Namoi,419012,LF2,0
Boggabri to Wee Waa,Namoi,419012,AC1_P,0
Boggabri to Wee Waa,Namoi,419012,AC1_S,0
Boggabri to Wee Waa,Namoi,419012,AC2,1
Boggabri to Wee Waa,Namoi,419012,BK1,1
Boggabri to Wee Waa,Namoi,419012,BK2_P,1
Boggabri to Wee Waa,Namoi,419012,BK2_S,1
Boggabri to Wee Waa,Namoi,419012,OB1,
Boggabri to Wee Waa,Namoi,419012,OB2_P,0
Boggabri to Wee Waa,Namoi,419012,OB2_S,1
Boggabri to Wee Waa,Namoi,419012,OB3_P,0
Boggabri to Wee Waa,Namoi,419012,OB3_S,1
Boggabri to Wee Waa,Namoi,419039,CF1_a,0
Boggabri to Wee Waa,Namoi,419039,CF1_c,1
Boggabri to Wee Waa,Namoi,419039,CF1_b,1
Boggabri to Wee Waa,Namoi,419039,VF1_a,0
Boggabri to Wee Waa,Namoi,419039,VF1_b,
Boggabri to Wee Waa,Namoi,419039,BF1_a,0
Boggabri to Wee Waa,Namoi,419039,BF1_b,1
Boggabri to Wee Waa,Namoi,419039,BF2_a,1
Boggabri to Wee Waa,Namoi,419039,BF2_b,1
Boggabri to Wee Waa,Namoi,419039,SF1_P,1
Boggabri to Wee Waa,Namoi,419039,SF1_S,1
Boggabri to Wee Waa,Namoi,419039,SF2,0
Boggabri to Wee Waa,Namoi,419039,LF1_P,1
Boggabri to Wee Waa,Namoi,419039,LF1_S,0
Boggabri to Wee Waa,Namoi,419039,LF2,1
Boggabri to Wee Waa,Namoi,419039,BK1,0
Boggabri to Wee Waa,Namoi,419039,BK2_P,1
Boggabri to Wee Waa,Namoi,419039,BK2_S,1
Boggabri to Wee Waa,Namoi,419039,OB1,0
Boggabri to Wee Waa,Namoi,419039,OB2,1
Boggabri to Wee Waa,Namoi,419039,OB3_P,0
Boggabri to Wee Waa,Namoi,419039,OB3_S,
Boggabri to Wee Waa,Namoi,419039,OB4_P,1
Boggabri to Wee Waa,Namoi,419039,OB4_S,0
Wee Waa to Barwon River,Namoi,419021,CF1_a,0
Wee Waa to Barwon River,Namoi,419021,CF1_c,0
Wee Waa to Barwon River,Namoi,419021,CF1_b,1
Wee Waa to Barwon River,Namoi,419021,VF1_a,1
Wee Waa to Barwon River,Namoi,419021,VF1_b,0
Wee Waa to Barwon River,Namoi,419021,BF1_a,1
Wee Waa to Barwon River,Namoi,419021,BF1_b,1
Wee Waa to Barwon River,Namoi,419021,BF2_a,0
Wee Waa to Barwon River,Namoi,419021,BF2_b,1
Wee Waa to Barwon River,Namoi,419021,SF1_P,0
Wee Waa to Barwon River,Namoi,419021,SF1_S,1
Wee Waa to Barwon River,Namoi,419021,SF2,0
Wee Waa to Barwon River,Namoi,419021,LF1_P,
