planning_unit_name,LTWPShortName,gauge,ewr_code_timing,Target,priority
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409023,OB1_S,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409023,OB1_P,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409023,OB2_S,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409023,OB2_P,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409024,CF,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409024,VF,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409024,BF1_a,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409024,BF1_b,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409024,BF2_a,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409024,BF2_b,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409024,SF1_S,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409024,SF1_P,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409024,SF2,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409024,LF1_P,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409024,LF1_S,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409024,LF2,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409024,LF3_S,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409024,LF3_P,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409024,BK1_S,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409024,BK1_P,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409024,OB1_S,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409024,OB1_P,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409024,OB2_S,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409024,OB2_P,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,VF,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,BF1_a,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,BF1_b,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,BF2_a,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,BF2_b,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,SF1_S,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,SF1_P,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,SF2,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,LF1_P,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,LF1_S,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,LF2,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,LF3,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,BK1_S,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,BK1_P,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,BK2_S,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,BK2_P,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,OB1_S,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,OB1_P,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,OB2_a_S,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,OB2_b_S,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,OB2_a_P,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,OB2_b_P,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,OB3_a_P,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,OB3_a_S,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,OB3_b_P,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,OB3_b_S,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,OB4_S,Ecosystem Function,2
Murray River - Yarrawonga to Barmah,Murray Lower Darling,409025,OB4_P,Ecosystem Function,2
