PlanningUnitID,PlanningUnitName,LTWPShortName,CompliancePoint/Node,Gauge,Code,StartMonth,EndMonth,TargetFrequency,TargetFrequencyMin,TargetFrequencyMax,EventsPerYear,Duration,MinSpell,FlowThresholdMin_100,FlowThresholdMin_100,FlowThresholdMax,MaxInter-event,WithinEventGapTolerance,WeirpoolGauge,FlowLevelVolume,LevelThresholdMin,LevelThresholdMax,VolumeThreshold,DrawdownRate,AccumulationPeriod,Multigauge,MaxSpell,TriggerDay,TriggerMonth,DrawDownRateWeek,MaxLevelRise,AnnualFlowSum,AnnualBarrageFlow,ThreeYearsBarrageFlow,HighReleaseWindowStart,HighReleaseWindowEnd,LowReleaseWindowStart,LowReleaseWindowEnd,PeakLevelWindowStart,PeakLevelWindowEnd,LowLevelWindowStart,LowLevelWindowEnd,NonFlowSpell,EggsDaysSpell,LarvaeDaysSpell,MinLevelRise,RateOfRiseMax1,RateOfRiseMax2,RateOfFallMin,RateOfRiseThreshold1,RateOfRiseThreshold2,RateOfRiseRiverLevel,RateOfFallRiverLevel,CtfThreshold,GaugeType,State,Catchment_BPRegion,SWSDLName,Latitude,Longitude,Env_obj
SS300005,Kiewa river reach 5 - Running Creek,Kiewa FLOWs study 2008,,402206,F4,6,11,33,,,1,2,2,1123,1123,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-M3b
SS300005,Kiewa river reach 5 - Running Creek,Kiewa FLOWs study 2008,,402206,F5,9,10,20,,,1,2,2,467,467,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-V1c
SS300005,Kiewa river reach 5 - Running Creek,Kiewa FLOWs study 2008,,402206,F6,7,6,100,,,1,3,3,346,346,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P3
SS300005,Kiewa river reach 5 - Running Creek,Kiewa FLOWs study 2008,,402206,F7,7,6,100,,,1,1,1,518,518,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P5+V-P6
SS300005,Kiewa river reach 5 - Running Creek,Kiewa FLOWs study 2008,,402206,F8,7,6,33,,,1,1,1,1123,1123,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P2+V-F2b
SS300006,Kiewa river reach 6 - Yackandandah Creek,Kiewa FLOWs study 2008,,402204,BF1,12,5,100,,,1,182,1,16,13,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-F4b+V-M1+V-M3a+V-P1
SS300006,Kiewa river reach 6 - Yackandandah Creek,Kiewa FLOWs study 2008,,402204,BF2,6,11,100,,,1,183,1,65,52,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P4+V-P7
SS300006,Kiewa river reach 6 - Yackandandah Creek,Kiewa FLOWs study 2008,,402204,F1,6,11,100,,,3,3,3,346,346,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-M3b
SS300006,Kiewa river reach 6 - Yackandandah Creek,Kiewa FLOWs study 2008,,402204,F2,7,9,100,,,2,2,2,346,346,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-V1a
SS300006,Kiewa river reach 6 - Yackandandah Creek,Kiewa FLOWs study 2008,,402204,F3,7,11,100,,,1,1,1,1904,1904,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-V1d
