planning_unit_name,gauge,ewr_code,ewr_code_timing,state,LTWPShortName,env_obj,Target,SWSDLName
Marthaguy Creek,421011,CF,CF_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Marthaguy Creek,421011,CF,CF_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Marthaguy Creek,421011,CF,CF_c,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Marthaguy Creek,421011,VF,VF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Marthaguy Creek,421011,BF1,BF1_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Marthaguy Creek,421011,BF1,BF1_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Marthaguy Creek,421011,BF2,BF2_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Marthaguy Creek,421011,BF2,BF2_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Marthaguy Creek,421011,BF3,BF3,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Marthaguy Creek,421011,DSF,DSF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Marthaguy Creek,421011,SF1,SF1,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Marthaguy Creek,421011,SF3,SF3,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Marthaguy Creek,421011,OB-WS4,OB-WS4,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Castlereagh River below Coonamble,420020,CF,CF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Castlereagh River below Coonamble,420020,VF,VF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Castlereagh River below Coonamble,420020,BF1,BF1,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Castlereagh River below Coonamble,420020,BF2,BF2,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Castlereagh River below Coonamble,420020,SF1,SF1_S,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Castlereagh River below Coonamble,420020,SF1,SF1_P,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Castlereagh River below Coonamble,420020,SF3,SF3_S,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Castlereagh River below Coonamble,420020,SF3,SF3_P,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Castlereagh River below Coonamble,420020,OB-WS4,OB-WS4_S,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Castlereagh River below Coonamble,420020,OB-WS4,OB-WS4_P,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421022,CF,CF_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421022,CF,CF_c,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421022,VF,VF_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421022,BF1,BF1_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421022,BF1,BF1_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421022,BF2,BF2_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421022,BF2,BF2_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421022,BF3,BF3,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421022,DSF,DSF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421022,SF1,SF1_P,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421022,SF1,SF1_S,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421022,CF,CF_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421022,VF,VF_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421090,CF,CF_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421090,CF,CF_c,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421090,VF,VF_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421090,BF1,BF1_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421090,BF1,BF1_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
