water_year,Barwon-Darling,Border Rivers,Campaspe,Condamine-Balonne,Eastern Mt Lofty Ranges,Goulburn-Broken,Gwydir,Lachlan,Loddon,Lower Darling,Macquarie-Castlereagh,Moonie,Murray,Murrumbidgee,Namoi,Ovens,Paroo,Warrego,Wimmera-Avoca,Northern Basin ,Southern Basin ,Total MDB
1972,Dry,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Wet,Moderate,Moderate,Moderate,Moderate,Dry,Moderate,Moderate,Moderate,Wet,Wet,Moderate,Moderate,Moderate
1973,Very Wet,Wet,Very Wet,Very Wet,Moderate,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Wet,Very Wet,Very Wet,Very Wet,Very Wet
1974,Very Wet,Moderate,Wet,Moderate,Wet,Very Wet,Moderate,Wet,Wet,Very Wet,Moderate,Moderate,Very Wet,Very Wet,Moderate,Very Wet,Wet,Moderate,Very Wet,Moderate,Very Wet,Wet
1975,Very Wet,Very Wet,Wet,Very Wet,Moderate,Very Wet,Very Wet,Wet,Very Wet,Very Wet,Very Wet,Very Wet,Wet,Wet,Very Wet,Very Wet,Very Wet,Very Wet,Wet,Very Wet,Very Wet,Very Wet
1976,Very Wet,Moderate,Moderate,Moderate,Dry,Moderate,Wet,Moderate,Moderate,Wet,Moderate,Moderate,Moderate,Moderate,Very Wet,Dry,Very Wet,Wet,Moderate,Wet,Moderate,Moderate
1977,Moderate,Moderate,Dry,Very Dry,Very Dry,Dry,Moderate,Moderate,Moderate,Moderate,Moderate,Dry,Dry,Moderate,Moderate,Dry,Moderate,Dry,Dry,Moderate,Dry,Dry
1978,Wet,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Wet,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
1979,Moderate,Dry,Moderate,Dry,Moderate,Moderate,Dry,Dry,Moderate,Wet,Moderate,Very Dry,Dry,Dry,Dry,Moderate,Dry,Very Dry,Moderate,Very Dry,Moderate,Dry
1980,Moderate,Dry,Moderate,Moderate,Moderate,Moderate,Dry,Dry,Moderate,Moderate,Dry,Moderate,Moderate,Moderate,Very Dry,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
1981,Moderate,Moderate,Very Wet,Moderate,Very Wet,Wet,Moderate,Moderate,Wet,Moderate,Moderate,Moderate,Wet,Moderate,Moderate,Very Wet,Dry,Dry,Very Wet,Moderate,Wet,Moderate
