Year,eventYears,numAchieved,numEvents,numEventsAll,eventLength,eventLengthAchieved,totalEventDays,totalEventDaysAchieved,maxEventDays,maxRollingEvents,maxRollingAchievement,missingDays,totalPossibleDays,ewrCode,scenario,gauge,pu,State,SWSDLName,Multigauge,rollingMaxInterEvent,rollingMaxInterEventAchieved
2018,0.0,0.0,1.0,3.0,6.0,16.5,6.0,33.0,6.0,6.0,1.0,0.0,365.0,F2_P_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,363,0
2019,1.0,1.0,3.0,3.0,4.8,4.0,24.0,4.0,10.0,10.0,1.0,0.0,366.0,F2_P_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,315,0
2020,0.0,0.0,1.0,1.0,3.0,6.0,6.0,6.0,4.0,4.0,1.0,0.0,365.0,F2_P_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,345,0
2021,0.0,0.0,0.0,5.0,1.6666666666666667,6.333333333333333,10.0,19.0,2.0,2.0,0.0,0.0,365.0,F2_P_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,416,0
2022,1.0,1.0,2.0,2.0,5.4,4.0,27.0,4.0,16.0,16.0,1.0,0.0,365.0,F2_P_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,693,0
2023,1.0,1.0,2.0,6.0,3.0,0.0,24.0,0.0,9.0,9.0,1.0,0.0,366.0,F2_P_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,333,0
2014,0.0,0.0,0.0,5.0,2.5,10.0,5.0,20.0,3.0,3.0,0.0,0.0,365.0,F2_P_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,365,0
2015,0.0,0.0,0.0,8.0,1.0,7.5,1.0,15.0,1.0,1.0,0.0,1.0,366.0,F2_P_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,731,0
2024,,,,,,,,,,,,,,F2_P_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,0,1
2016,1.0,1.0,3.0,2.0,12.0,3.0,36.0,3.0,18.0,18.0,1.0,0.0,365.0,F2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,716,0
2017,0.0,0.0,1.0,1.0,2.0,0.0,6.0,0.0,4.0,4.0,1.0,26.0,365.0,F2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,350,0
2018,0.0,0.0,1.0,3.0,6.0,12.0,6.0,36.0,6.0,6.0,1.0,0.0,365.0,F2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,363,0
2019,1.0,2.0,4.0,3.0,4.8,4.0,24.0,4.0,10.0,10.0,1.0,0.0,366.0,F2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,299,0
2020,0.0,0.0,1.0,1.0,3.0,6.0,6.0,6.0,4.0,4.0,1.0,0.0,365.0,F2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,345,0
2021,0.0,0.0,0.0,5.0,1.6666666666666667,5.5,10.0,22.0,2.0,2.0,0.0,0.0,365.0,F2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,416,0
2022,1.0,2.0,4.0,2.0,5.4,4.0,27.0,4.0,16.0,16.0,1.0,0.0,365.0,F2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,663,0
2023,1.0,1.0,3.0,6.0,3.0,0.0,24.0,0.0,9.0,9.0,1.0,0.0,366.0,F2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,333,0
2014,0.0,0.0,1.0,5.0,2.5,6.5,5.0,26.0,3.0,3.0,1.0,0.0,365.0,F2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,291,0
2015,0.0,0.0,0.0,8.0,1.0,6.0,1.0,18.0,1.0,1.0,0.0,1.0,366.0,F2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,437,0
2024,,,,,,,,,,,,,,F2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,0,1
2016,0.0,0.0,1.0,3.0,15.5,21.5,62.0,43.0,58.0,58.0,1.0,0.0,365.0,F2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,673,0
2017,0.0,0.0,1.0,2.0,8.75,0.0,35.0,0.0,30.0,30.0,1.0,26.0,365.0,F2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,335,0
