Scenario,Gauge,PlanningUnit,State,SWSDLName,EwrCode,Multigauge,EventYears,Frequency,TargetFrequency,AchievementCount,AchievementPerYear,EventCount,EventCountAll,EventsPerYear,EventsPerYearAll,AverageEventLength,ThresholdDays,MaxInterEventYears,NoDataDays,TotalDays
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,LF2_P_sd,,2.0,20,40,4.0,0.4,4.0,7.0,0.4,0.7,9.571428571428571,67.0,4,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,LF2_S_pd,,2.0,20,40,4.0,0.4,4.0,6.0,0.4,0.6,12.0,72.0,4,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,LF2_S_sd,,2.0,20,40,4.0,0.4,4.0,6.0,0.4,0.6,12.0,72.0,4,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,OB1,,2.0,20,0,2.0,0.2,2.0,2.0,0.2,0.2,4.0,8.0,0,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,SF1_a_P_pd,,0.0,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,SF1_a_P_sd,,0.0,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,SF1_a_S_pd,,1.0,10,70,1.0,0.1,1.0,3.0,0.1,0.3,2.3333333333333335,7.0,4,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,SF1_a_S_sd,,3.0,30,70,3.0,0.3,3.0,3.0,0.3,0.3,2.3333333333333335,7.0,4,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,SF2_a_P_pd,,2.0,20,70,3.0,0.3,3.0,5.0,0.3,0.5,9.0,45.0,4,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,SF2_a_P_sd,,2.0,20,70,5.0,0.5,5.0,5.0,0.5,0.5,9.0,45.0,4,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,SF2_a_S_pd,,9.0,90,70,14.0,1.4,14.0,15.0,1.4,1.5,6.6,99.0,4,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,SF2_a_S_sd,,10.0,100,70,15.0,1.5,15.0,15.0,1.5,1.5,6.6,99.0,4,22.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,BF1_a,,4.0,40,30,4.0,0.4,4.0,22.0,0.4,2.2,70.54545454545455,1552.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,BF1_b_P,,5.0,50,70,5.0,0.5,5.0,17.0,0.5,1.7,99.88235294117646,1698.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,BF1_b_S,,5.0,50,70,5.0,0.5,5.0,17.0,0.5,1.7,99.05882352941177,1684.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,BF1_c,,5.0,50,100,5.0,0.5,5.0,17.0,0.5,1.7,99.88235294117646,1698.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,BF2_a,,0.0,0,30,0.0,0.0,0.0,21.0,0.0,1.9090909090909092,19.714285714285715,414.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,BF2_b,,1.0,9,70,1.0,0.09090909090909091,1.0,29.0,0.09090909090909091,2.6363636363636362,34.793103448275865,1009.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,BF2_c,,5.0,45,100,5.0,0.45454545454545453,5.0,17.0,0.45454545454545453,1.5454545454545454,95.0,1615.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,BK1_P_pd,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,BK1_P_sd,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,BK1_S_pd,,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.1,1.0,1.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,BK1_S_sd,,1.0,10,0,1.0,0.1,1.0,1.0,0.1,0.1,1.0,1.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,CF1_a,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,CF1_b,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,CF1_c_P_pd,,0.0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,CF1_c_P_sd,,0.0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,CF1_c_S_pd,,0.0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,CF1_c_S_sd,,0.0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,F1_a_P,,9.0,90,30,18.0,1.8,18.0,18.0,1.8,1.8,8.444444444444445,152.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,F1_a_S,,9.0,90,30,31.0,3.1,31.0,31.0,3.1,3.1,14.580645161290322,452.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,F1_b_P,,5.0,50,70,5.0,0.5,5.0,17.0,0.5,1.7,14.580645161290322,1698.0,0,245.0,3653.0
