scenario,gauge,pu,ewr,waterYear,startDate,endDate,eventDuration,eventLength,State,SWSDLName,Multigauge
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1978,1978-10-17,1978-10-31,15,15,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1978,1978-11-04,1978-11-20,17,17,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1978,1978-12-23,1979-01-08,17,17,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1978,1979-01-11,1979-01-21,11,11,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1978,1979-02-13,1979-03-08,24,24,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1979,1979-11-07,1979-11-27,21,21,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1979,1979-12-03,1980-01-03,32,32,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1979,1980-01-12,1980-01-27,16,16,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1979,1980-02-16,1980-02-26,11,11,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1981,1981-10-30,1981-11-08,10,10,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1981,1981-11-26,1981-12-09,14,14,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1981,1982-02-04,1982-03-29,54,54,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1982,1983-01-03,1983-01-12,10,10,NSW,NSW Border Rivers,
