scenario,gauge,pu,State,SWSDLName,ewr,waterYear,startDate,endDate,eventDuration,eventLength,Multigauge
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015,2016-02-12,2016-02-12,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015,2016-02-15,2016-02-15,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015,2016-02-18,2016-02-21,4,4,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015,2016-02-24,2016-02-25,2,2,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015,2016-02-27,2016-02-29,3,3,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015,2016-04-11,2016-04-11,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015,2016-04-16,2016-04-16,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015,2016-04-18,2016-04-20,3,3,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015,2016-04-22,2016-04-25,4,4,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015,2016-04-27,2016-04-28,2,2,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015,2016-04-30,2016-05-15,16,16,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015,2016-05-19,2016-05-20,2,2,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2016,2016-12-01,2017-03-03,93,93,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2016,2017-03-13,2017-03-13,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2016,2017-03-23,2017-05-31,70,70,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2017,2017-12-01,2018-04-24,145,145,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2017,2018-04-30,2018-05-31,32,32,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2018,2018-12-01,2019-02-26,88,88,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2018,2019-04-27,2019-04-29,3,3,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2018,2019-05-01,2019-05-31,31,31,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2019,2019-12-01,2020-02-07,69,69,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2019,2020-02-09,2020-02-10,2,2,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2019,2020-02-15,2020-02-16,2,2,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2019,2020-02-20,2020-02-21,2,2,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2019,2020-03-05,2020-03-10,6,6,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2019,2020-03-13,2020-03-13,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2019,2020-03-17,2020-04-21,36,36,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2019,2020-04-30,2020-05-31,32,32,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2020,2020-12-01,2021-05-31,182,182,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2021,2021-12-01,2022-05-31,182,182,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2022,2022-12-01,2023-05-31,182,182,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2023,2023-12-01,2024-05-04,156,156,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2023,2024-05-06,2024-05-31,26,26,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2014,2014-07-01,2014-07-15,15,15,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2014,2014-07-17,2014-08-28,43,43,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2014,2014-09-02,2014-09-03,2,2,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2014,2014-09-06,2014-09-06,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2014,2014-09-10,2014-09-13,4,4,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2014,2014-09-15,2014-09-16,2,2,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2014,2014-09-20,2014-09-20,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2014,2014-09-22,2014-10-07,16,16,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2014,2014-10-18,2014-10-20,3,3,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2014,2014-10-23,2014-10-24,2,2,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2014,2014-10-31,2014-10-31,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2015,2015-06-18,2015-06-19,2,2,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2015,2015-08-25,2015-09-09,16,16,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2016,2016-06-04,2016-06-06,3,3,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2016,2016-09-11,2016-10-28,48,48,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2016,2016-10-30,2016-10-30,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2016,2016-11-01,2016-11-01,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2016,2016-11-23,2016-11-24,2,2,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2017,2017-06-01,2017-07-29,59,59,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2017,2017-08-16,2017-09-23,39,39,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2017,2017-09-26,2017-10-31,36,36,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2018,2018-06-03,2018-06-19,17,17,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2018,2018-06-22,2018-08-01,41,41,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2018,2018-08-04,2018-08-06,3,3,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2018,2018-08-08,2018-08-16,9,9,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2018,2018-08-18,2018-08-25,8,8,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2018,2018-09-03,2018-09-03,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2018,2018-10-09,2018-10-31,23,23,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2019,2019-07-09,2019-07-25,17,17,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2019,2019-07-31,2019-08-07,8,8,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2019,2019-08-09,2019-08-09,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2019,2019-08-12,2019-08-27,16,16,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2019,2019-09-24,2019-09-29,6,6,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2019,2019-10-03,2019-10-03,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2019,2019-10-05,2019-10-05,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2019,2019-11-05,2019-11-23,19,19,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2020,2020-06-02,2020-06-28,27,27,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2020,2020-06-30,2020-06-30,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2020,2020-09-17,2020-09-18,2,2,
